ə	a
æɹəmætɪk	aromatic
əɹaʊnd	around
əɹaʊz	arouse
ɑɹpɛʤioʊ	arpeggio
əɹeɪn	arraign
əɹeɪnʤ	arrange
æɹənt	arrant
æɹəs	arras
əɹeɪ	array
əɹɪɹz	arrears
əɹɛst	arrest
əɹaɪvl̩	arrival
æɹəgənt	arrogant
æɹəgeɪt	arrogate
æɹoʊ	arrow
əɹɔɪə	arroyo
ɑɹsnl̩	arsenal
ɑɹsn̩ɪk	arsenic
ɑɹsɛnɪkl̩	arsenical
ɑɹsiniəs	arsenious
ɑɹsn̩	arson
ɑɹt	art
ɑɹtəfækt	artefact
ɑɹtɪɹil̩	arterial
ɑɹtɪɹioʊskləɹoʊsəs	arteriosclerosis
ɑɹtɚi	artery
ɑɹtfl̩	artful
ɑɹθɹaɪtəs	arthritis
ɑɹθɹəpɑd	arthropod
ɑɹtəʧoʊk	artichoke
ɑɹtɪkl̩	article
ɑɹtɪkjʊlɚ	articular
ɑɹtɪkjulət	articulate
ɑɹtɪkjʊleɪʃən	articulation
ɑɹtəfəs	artifice
ɑɹtɪfəsɚ	artificer
ɑɹtəfɪʃl̩	artificial
ɑɹtɪlɚi	artillery
ɑɹtəzən	artisan
ɑɹtəst	artist
ɑɹtist	artiste
ɑɹtɪstɪk	artistic
ɑɹtəstɹi	artistry
ɑɹtləs	artless
ɑɹti	arty
æɹm̩	arum
æz	as
æsəfɪtədi	asafoetida
æsbɛstəs	asbestus
əsɛnd	ascend
əsɛndənsi	ascendency
əsɛndənt	ascendent
əsɛnʧən	ascension
əsɛnt	ascent
æsɚteɪn	ascertain
əsɛtɪk	ascetic
əskɹaɪb	ascribe
eɪsɛptɪk	aseptic
eɪsɛkʃul̩	asexual
æʃ	ash
əʃeɪmd	ashamed
æʃən	ashen
æʃlɚ	ashlar
əʃoɹ	ashore
æʃi	ashy
əsaɪd	aside
æsn̩aɪn	asinine
æsn̩ɪnəti	asininity
æsk	ask
əskæns	askance
əskju	askew
əslænt	aslant
əslip	asleep
æsp	asp
əspæɹəgəs	asparagus
æspɛkt	aspect
æspən	aspen
æspɛɹəti	asperity
əspɝzən	aspersion
æsfɔlt	asphalt
æsfədɛl	asphodel
æsfɪksieɪt	asphyxiate
æspɪk	aspic
æspɚənt	aspirant
æspɚeɪʃən	aspiration
əspaɪɹ	aspire
æspɚən	aspirin
æs	ass
əseɪl	assail
əsæsn̩	assassin
əsɔlt	assault
æseɪ	assay
əsɛmblɪʤ	assemblage
əsɛmbl̩	assemble
əsɛmbli	assembly
əsɛnt	assent
əsɝt	assert
əsɝʃən	assertion
əsɛs	assess
æsɛt	asset
əsɛvəɹeɪt	asseverate
æsədjuəti	assiduity
əsɪʤuəs	assiduous
əsɪʤʊəsli	assiduously
əsaɪn	assign
æsɪgneɪʃən	assignation
əsaɪnmənt	assignment
əsɪməleɪt	assimilate
əsɪst	assist
əsɪstənt	assistant
əsaɪz	assize
əsoʊsieɪt	associate
əsoʊsieɪʃən	association
əsoʊsiətəv	associative
æsənəns	assonance
əsɔɹt	assort
əsweɪʤ	assuage
əsum	assume
əsʌmʃən	assumption
əʃʊɹəns	assurance
əʃʊɹ	assure
əʃʊɹd	assured
æstətin	astatine
æstɚ	aster
æstɚɪsk	asterisk
əstɝn	astern
æstɚɔɪd	asteroid
æzmə	asthma
æzmætɪk	asthmatic
əstɪgmətɪzm̩	astigmatism
əstɝ	astir
əstɑnɪʃ	astonish
əstaʊnd	astound
əstɹædl̩	astraddle
æstɹəkən	astrakhan
æstɹl̩	astral
əstɹeɪ	astray
əstɹaɪd	astride
əstɹɪnʤənt	astringent
æstɹəleɪb	astrolabe
æstɹəlɑʤɪkl̩	astrological
əstɹɑləʤi	astrology
æstɹənɔt	astronaut
æstɹənɔtɪkl̩	astronautical
æstɹənɑmɪkl̩	astronomical
əstɹɑnəmi	astronomy
æstɹəfɪzɪks	astrophysics
əstut	astute
əsʌndɚ	asunder
əsaɪləm	asylum
eɪsəmɛtɹɪk	asymmetric
æt	at
ætəvɪzm̩	atavism
ætəvɪstɪk	atavistic
eɪt	ate
ætl̩jeɪ	atelier
eɪθiɪzm̩	atheism
eɪθiəst	atheist
eɪθiɪstɪk	atheistic
æθəniəm	atheneum
əθɝst	athirst
æθlit	athlete
æθlɛtɪk	athletic
əθwɔɹt	athwart
ətɪlt	atilt
ætləs	atlas
ætməsfɪɹ	atmosphere
ætməsfɪɹɪk	atmospheric
ætɔl	atoll
ætm̩	atom
ətɑmɪk	atomic
ətɑmɪks	atomics
ætəmaɪz	atomize
eɪtoʊnl̩	atonal
eɪtoʊnæləti	atonality
eɪtoʊnl̩i	atonally
ətoʊn	atone
ətɑp	atop
eɪtɹiəm	atrium
ətɹoʊʃəs	atrocious
ətɹɑsəti	atrocity
ætɹəfi	atrophy
ætɹəpin	atropine
ətæʧ	attach
ætəʃeɪ	attache
ətæʧmənt	attachment
ətæk	attack
əteɪn	attain
əteɪnəbɪləti	attainability
əteɪndɚ	attainder
əteɪnmənt	attainment
əteɪnt	attaint
ætɚ	attar
ətɛmpt	attempt
ətɛnd	attend
ətɛndəns	attendance
ətɛnʧən	attention
ətɛnjueɪt	attenuate
ətɛnjueɪʃən	attenuation
ətɛst	attest
ætɛsteɪʃən	attestation
ætɪk	attic
ətaɪɹ	attire
ætətud	attitude
ætətudn̩aɪz	attitudinize
ətɝni	attorney
ətɹækt	attract
ətɹækʃən	attraction
ətɹɪbjutəbl̩	attributable
ætɹəbjut	attribute
ætɹəbjuʃən	attribution
ətɹɪbjʊtɪv	attributive
ətɹɪʃən	attrition
ətun	attune
eɪtɪpɪkl̩	atypical
ɔbɚn	auburn
ɔkʃən	auction
ɔkʃənɪɹ	auctioneer
ɔktoɹil̩	auctorial
ɔdeɪʃəs	audacious
ɔdæsəti	audacity
ɔdəbɪləti	audibility
ɔdəbl̩	audible
ɔdəbli	audibly
ɔdiəns	audience
ɔdioʊ	audio
ɔdioʊfaɪl	audiophile
ɔdioʊvɪƷul̩	audiovisual
ɔdət	audit
ɔdɪʃən	audition
ɔdətɚ	auditor
ɔdətoɹiəm	auditorium
ɔdətoɹi	auditory
ɔgɚ	auger
ɔt	aught
ɔgmɛnt	augment
ɔgmənteɪʃən	augmentation
ɔgɚ	augur
ɔgjʊɹi	augury
ɔk	auk
ɔld	auld
ænt	aunt
ɔɹə	aura
ɔɹl̩	aural
aʊɹɑɹ	aurar
ɔɹiət	aureate
ɔɹioʊl	aureole
ɔɹɪkl̩	auricle
ɔɹɪkjʊlɚ	auricular
ɔɹɪfəɹəs	auriferous
əɹoɹə	aurora
ɔspəs	auspice
ɔspɪʃəs	auspicious
ɔstɪɹ	austere
ɔstɛɹəti	austerity
ɔstɹl̩	austral
ɔθɛntɪk	authentic
ɔθɛntɪkeɪt	authenticate
ɔθɛntɪsəti	authenticity
ɔθɚ	author
ɔθoɹətɛɹiən	authoritarian
ɔθoɹəteɪtəv	authoritative
ɔθoɹəti	authority
ɔθɚəzeɪʃən	authorization
ɔθɚaɪz	authorize
ɔθɚʃɪp	authorship
ɔtoʊ	auto
ɔtoʊbɑn	autobahn
ɔtəbaɪɑgɹəfi	autobiography
ɔtɑkθənəs	autochthonous
ɔtɑkɹəsi	autocracy
ɔtəkɹæt	autocrat
ɔtəkɹætɪk	autocratic
ɔtəgɹæf	autograph
ɔtoʊɪntɑksəkeɪʃən	autointoxication
ɔtəmeɪt	automate
ɔtəmætɪk	automatic
ɔtəmeɪʃən	automation
ɔtɑmətaɪz	automatize
ɔtɑmətən	automaton
ɔtəmoʊbil	automobile
ɔtəmoʊtɪv	automotive
ɔtɑnəməs	autonomous
ɔtɑpsi	autopsy
ɔtm̩	autumn
ɔtʌmnl̩	autumnal
ɔgzɪljɚi	auxiliary
ɔksən	auxin
əveɪl	avail
əveɪləbl̩	available
ævəlænʧ	avalanche
ævɚəs	avarice
ævɚɪʃəs	avaricious
əvæst	avast
ævətɑɹ	avatar
əvɔnt	avaunt
ɑveɪ	ave
əvɛnʤ	avenge
ævənu	avenue
əvɝ	aver
ævɹɪʤ	average
əvɝmənt	averment
əvɝs	averse
əvɝƷən	aversion
əvɝt	avert
eɪviən	avian
eɪviɛɹi	aviary
eɪvieɪʃən	aviation
eɪvieɪtɚ	aviator
eɪvieɪtɹɪks	aviatrix
ævəd	avid
əvɪdəti	avidity
ævədli	avidly
eɪviɑnɪks	avionics
eɪvaɪtəmənoʊsəs	avitaminosis
ævəkɑdoʊ	avocado
ævəkeɪʃən	avocation
əvɔɪd	avoid
ævɚdəpɔɪz	avoirdupois
əvaʊʧ	avouch
əvaʊ	avow
əvʌŋkjʊlɚ	avuncular
əweɪt	await
əweɪk	awake
əweɪkən	awaken
əwɔɹd	award
əwæɹ	aware
əwɔʃ	awash
ɔ	awe
əwɪɹi	aweary
əweɪ	aweigh
ɔsəm	awesome
ɔstɹɪkən	awestricken
ɔfl̩	awful
əhwaɪl	awhile
əhwɝl	awhirl
ɔkwɚd	awkward
ɔl	awl
ɔn	awn
ɔnɪŋ	awning
əɹaɪ	awry
æks	axe
æksil̩	axial
æksiəm	axiom
æksiəmætɪk	axiomatic
æksəs	axis
æksl̩	axle
aɪ	ay
aɪə	ayah
aɪ	aye
əzeɪljə	azalea
æzəməθ	azimuth
bi	b
bæbl̩	babble
beɪb	babe
bæbun	baboon
bəbʊʃkə	babushka
beɪbi	baby
bækəlɔɹiət	baccalaureate
bækəneɪliə	bacchanalia
bæʧlɚ	bachelor
bæsəlɛɹi	bacillary
bəsɪləs	bacillus
bæk	back
bækfild	backfield
bækgæmən	backgammon
bækɹɛst	backrest
bæksaɪd	backside
bækspɪn	backspin
bækwɔʃ	backwash
beɪkən	bacon
bæktɪɹiɑləʤi	bacteriology
bæktɪɹiəm	bacterium
bæd	bad
bæd	bade
bæʤ	badge
bæʤɚ	badger
bædn̩ɑƷ	badinage
bædmɪntn̩	badminton
bæfl̩	baffle
bæg	bag
bəgæs	bagasse
bægətɛl	bagatelle
beɪgl̩	bagel
bægɪʤ	baggage
bægi	baggy
bænjoʊ	bagnio
bægpaɪp	bagpipe
bɑt	baht
beɪl	bail
beɪləf	bailiff
beɪlɪwɪk	bailiwick
beɪlzmən	bailsman
bæɹn	bairn
beɪt	bait
beɪz	baize
beɪk	bake
beɪkɚi	bakery
bækʃiʃ	baksheesh
bæləns	balance
bælboʊə	balboa
bælbɹɪgən	balbriggan
bælkəni	balcony
bɔld	bald
bɔldəkən	baldachin
bældəkinoʊ	baldachino
bɔldɚdæʃ	balderdash
bɔldɹɪk	baldric
beɪl	bale
bəlin	baleen
beɪlfl̩	baleful
bɔk	balk
bɔl	ball
bæləd	ballad
bæləst	ballast
bɔlkæɹiɚ	ballcarrier
bælɚinə	ballerina
bæleɪ	ballet
bəlɪstɪk	ballistic
bəlun	balloon
bælət	ballot
bɔlɹum	ballroom
bælihu	ballyhoo
bɑm	balm
bɔlsə	balsa
bɔlsəm	balsam
bæləstɚ	baluster
bæmbu	bamboo
bæmbuzl̩	bamboozle
bæn	ban
bənæl	banal
bənæləti	banality
bənænə	banana
bænd	band
bændɪʤ	bandage
bændænə	bandana
bændbɑks	bandbox
bændəɹoʊl	banderol
bændət	bandit
bændətɹi	banditry
bændɪti	banditti
bændəlɪɹ	bandoleer
bændstænd	bandstand
bændwægən	bandwagon
bændi	bandy
beɪn	bane
bæŋ	bang
bæŋgl̩	bangle
bɑni	bani
bænɪʃ	banish
bænəstɚ	banister
bænʤoʊ	banjo
bæŋk	bank
bæŋkɹoʊl	bankroll
bæŋkɹʌpt	bankrupt
bænɚ	banner
bænək	bannock
bænz	banns
bæŋkwət	banquet
bæŋkɛt	banquette
bænʃi	banshee
bæntəm	bantam
bæntɚ	banter
bæntlɪŋ	bantling
bænjən	banyan
baʊbæb	baobab
bæptɪzm̩	baptism
bæptɪzml̩	baptismal
bæptəst	baptist
bæptaɪz	baptize
bɑɹ	bar
bɑɹb	barb
bɑɹbɛɹiən	barbarian
bɑɹbæɹɪk	barbaric
bɑɹbəɹɪzm̩	barbarism
bɑɹbæɹəti	barbarity
bɑɹbəɹəs	barbarous
bɑɹbɪkju	barbecue
bɑɹbd	barbed
bɑɹbɛl	barbell
bɑɹbɚ	barber
bɑɹbɛɹi	barberry
bɑɹbɪkən	barbican
bɑɹbɪʧɚət	barbiturate
bɑɹkəɹoʊl	barcarolle
bɑɹd	bard
bæɹ	bare
bɑɹgən	bargain
bɑɹʤ	barge
bæɹətoʊn	baritone
bæɹiəm	barium
bɑɹk	bark
bɑɹkipɚ	barkeeper
bɑɹkɚ	barker
bɑɹli	barley
bɑɹn	barn
bɑɹnɪkl̩	barnacle
bɑɹnstɔɹm	barnstorm
bɚɑmətɚ	barometer
bæɹəmɛtɹɪk	barometric
bæɹən	baron
bæɹənəs	baroness
bəɹoʊnil̩	baronial
bæɹəni	barony
bɚoʊk	baroque
bəɹuʃ	barouche
bɛɹəks	barracks
bæɹəkudə	barracuda
bɚɑʤ	barrage
bæɹətɹi	barratry
bɑɹd	barred
bæɹl̩	barrel
bæɹən	barren
bɑɹɛt	barrette
bæɹəkeɪd	barricade
bæɹiɚ	barrier
bæɹəstɚ	barrister
bɑɹɹum	barroom
bæɹoʊ	barrow
bɑɹtɛndɚ	bartender
bɑɹtɚ	barter
beɪsl̩	basal
bəsɔlt	basalt
bəsɔltɪk	basaltic
beɪs	base
beɪsbɔl	baseball
bæʃ	bash
bæʃfl̩	bashful
beɪsɪk	basic
bæzl̩	basil
bəsɪlɪkə	basilica
bæsəlɪsk	basilisk
beɪsn̩	basin
beɪsəs	basis
bæsk	bask
bæskət	basket
bæs	bass
bæsn̩ɛt	bassinet
bæsoʊ	basso
bəsʊn	bassoon
bæswʊd	basswood
bæst	bast
bæstɚd	bastard
beɪst	baste
bæstəneɪdoʊ	bastinado
bæsʧən	bastion
bæt	bat
bæʧ	batch
beɪt	bate
bæθ	bath
beɪð	bathe
bəθɛtɪk	bathetic
bæθhaʊs	bathhouse
beɪθɑs	bathos
bæðz	baths
bətist	batiste
bætmən	batman
bətɑn	baton
bətɹeɪkiən	batrachian
bætsmən	batsman
bətæljən	battalion
bætoʊ	batteau
bætn̩	batten
bætɚ	batter
bætɚi	battery
bætɪŋ	batting
bætl̩	battle
bɔbl̩	bauble
bɔksaɪt	bauxite
bɔdi	bawdy
bɔl	bawl
beɪ	bay
beɪbɛɹi	bayberry
beɪənɛt	bayonet
baɪu	bayou
bəzɑɹ	bazaar
bəzukə	bazooka
bi	be
biʧ	beach
biʧhɛd	beachhead
bikən	beacon
bid	bead
bidl̩	beadle
bigl̩	beagle
bik	beak
bikt	beaked
bikɚ	beaker
bim	beam
bin	bean
bini	beanie
bæɹ	bear
bɪɹd	beard
bæɹɪŋ	bearing
bæɹskɪn	bearskin
bist	beast
bit	beat
bitn̩	beaten
biətɪfɪk	beatific
biætəfaɪ	beatify
bitnɪk	beatnik
boʊ	beau
boʊƷəleɪ	beaujolais
bjutiəs	beauteous
bjutɪʃən	beautician
bjutɪfl̩	beautiful
bjutəfaɪ	beautify
bjuti	beauty
boʊz	beaux
bivɚ	beaver
bɪkɑm	becalm
bəkɔz	because
bɛk	beck
bɛkən	beckon
bɪklaʊd	becloud
bəkʌm	become
bɪkʌmɪŋ	becoming
bɛd	bed
bidɔb	bedaub
bɪdɛk	bedeck
bɪdɛvl̩	bedevil
bidu	bedew
bɛdfɛloʊ	bedfellow
bidaɪzn̩	bedizen
bɛdləm	bedlam
bɛduən	bedouin
bɪdɹægl̩d	bedraggled
bɛdɹɪdn̩	bedridden
bi	bee
biʧ	beech
biʧən	beechen
bif	beef
bihaɪv	beehive
bɪn	been
bɪɹ	beer
bizwæks	beeswax
bit	beet
bitl̩	beetle
bivz	beeves
bəfɔl	befall
bəfɪt	befit
bəfɔg	befog
bəfoɹ	before
bəfaʊl	befoul
bəfɹɛnd	befriend
bəfʌdl̩	befuddle
bɛg	beg
bəgɛt	beget
bɛgɚ	beggar
bəgɪn	begin
bəgɔn	begone
bɪgoʊniə	begonia
bigɹaɪm	begrime
bigəm	begum
bɪhæf	behalf
bɪheɪv	behave
bɪheɪvjɚ	behavior
bɪhɛd	behead
bɪhiməθ	behemoth
bɪhɛst	behest
bɪhoʊld	behold
beɪƷ	beige
biɪŋ	being
bəleɪbɚ	belabor
bɛlʧ	belch
bɛldəm	beldame
biligɚ	beleaguer
bɛlfɹi	belfry
bəlaɪ	belie
bəlif	belief
bəliv	believe
bilaɪk	belike
bɛl	bell
bɛlədɑnə	belladonna
bɛlbɔɪ	bellboy
bɛl	belle
bɛlhɑp	bellhop
bɛlɪkoʊs	bellicose
bɛlɪkɑsəti	bellicosity
bəlɪʤɚənsi	belligerency
bɛloʊ	bellow
bɛlwɛðɚ	bellwether
bɛli	belly
bəlɔŋ	belong
bɛlt	belt
bɛlvədɪɹ	belvedere
bɪmaɪɹ	bemire
bɪmoʊn	bemoan
bɛnʧ	bench
bɛnd	bend
bɪniθ	beneath
bɛnədɪkt	benedict
bɛnədɪkʃən	benediction
bɛnəfæktɚ	benefactor
bɛnəfəs	benefice
bənɛfəsəns	beneficence
bɛnəfɪʃl̩	beneficial
bɛnəfɪt	benefit
bənɛvl̩əns	benevolence
binaɪtəd	benighted
bɪnaɪn	benign
bɛnəsən	benison
bɛnt	bent
binʌm	benumb
bɛnzin	benzene
bɛnzin	benzine
bɛnzoʊeɪt	benzoate
bɛnzoʊən	benzoin
bɛnzɔl	benzol
bɪkwiθ	bequeath
bɛɹsʌz	berceuse
bɚeɪ	beret
bɝg	berg
bɛɹibɛɹi	beriberi
bɝkliəm	berkelium
bɛɹi	berry
bɚsɝk	berserk
bɝθ	berth
bɛɹl̩	beryl
bɚɪliəm	beryllium
bɪsiʧ	beseech
biʃɹu	beshrew
bɪsiʤ	besiege
bɪsmɝʧ	besmirch
bizm̩	besom
bisɑtəd	besotted
bɛst	best
bɛsʧl̩	bestial
bɛsʧiæləti	bestiality
bɪstɝ	bestir
bɛt	bet
bɪteɪk	betake
bitl̩	betel
bɛθl̩	bethel
biθɪŋk	bethink
bɛtɚ	better
bɛtɚmənt	betterment
bətwin	between
bɛvl̩	bevel
bɛvɹəʤ	beverage
bɛvi	bevy
biweɪl	bewail
beɪ	bey
biɑnd	beyond
bɛzl̩	bezel
bizoɹ	bezoar
bæŋ	bhang
baɪænjul̩	biannual
baɪəs	bias
bɪb	bib
bɪbəloʊ	bibelot
baɪbl̩	bible
bɪblɪkl̩	biblical
bɪbliɑgɹəfi	bibliography
bɪbliəfaɪl	bibliophile
bɪbjʊləs	bibulous
baɪkæmɚl̩	bicameral
baɪsɛps	biceps
baɪkloɹaɪd	bichloride
bɪkɚ	bicker
baɪkʌspəd	bicuspid
baɪsɪkl̩	bicycle
bɪd	bid
bɪdn̩	bidden
baɪd	bide
baɪɛnil̩	biennial
bɪɹ	bier
baɪfoʊkl̩z	bifocals
baɪfɝkeɪt	bifurcate
baɪfɝkeɪʃən	bifurcation
bɪg	big
bɪgəmi	bigamy
bɪghɔɹn	bighorn
baɪt	bight
bɪgət	bigot
bɪgwɪg	bigwig
baɪk	bike
bəkini	bikini
baɪlætɚl̩	bilateral
baɪl	bile
bɪlʤ	bilge
baɪlɪŋgwl̩	bilingual
bɪljəs	bilious
bɪlk	bilk
bɪl	bill
bɪlət	billet
bɪlfoʊld	billfold
bɪlhɛd	billhead
bɪljɚdz	billiards
bɪlɪŋzgeɪt	billingsgate
bɪljən	billion
bɪloʊ	billow
bɪli	billy
baɪmɛtəlɪzm̩	bimetallism
bɪn	bin
baɪnɛɹi	binary
baɪnɔɹl̩	binaural
baɪnd	bind
bɪnʤ	binge
bɪnɪkl̩	binnacle
baɪnɑkjʊlɚ	binocular
baɪnoʊmil̩	binomial
baɪoʊkɛməstɹi	biochemistry
baɪəgɹæfɪkl̩	biographical
baɪɑgɹəfi	biography
baɪəlɑʤɪkl̩	biological
baɪɑləʤəst	biologist
baɪɑləʤi	biology
baɪɑpsi	biopsy
baɪətən	biotin
baɪpəɹɛntl̩	biparental
baɪpɑɹtəzən	bipartisan
baɪpɛd	biped
baɪpleɪn	biplane
baɪɹeɪʃl̩	biracial
bɝʧ	birch
bɝd	bird
bɝdi	birdie
bəɹɛtə	biretta
bɝθ	birth
bɪskət	biscuit
baɪsɛkt	bisect
baɪsɛkʃul̩	bisexual
bɪʃəp	bishop
bɪzməθ	bismuth
baɪsn̩	bison
bɪsk	bisque
bɪstɹoʊ	bistro
bɪt	bit
bɪʧ	bitch
baɪt	bite
baɪtɪŋ	biting
bɪtn̩	bitten
bɪtɚ	bitter
bɪtɚn	bittern
bɪtɚz	bitters
bɪtɚswit	bittersweet
bətumən	bitumen
baɪvælv	bivalve
bɪvwæk	bivouac
bəzɑɹ	bizarre
blæb	blab
blæk	black
blækəmʊɹ	blackamoor
blækbɔl	blackball
blækən	blacken
blægɚd	blackguard
blækhɛd	blackhead
blæklɪst	blacklist
blædɚ	bladder
bleɪd	blade
bleɪn	blain
bleɪm	blame
blænʧ	blanch
bləmɑnʤ	blancmange
blænd	bland
blændɪʃmənt	blandishment
blæŋk	blank
blæŋkət	blanket
blæɹ	blare
blɑɹni	blarney
blɑzeɪ	blase
blæsfim	blaspheme
blæsfəmi	blasphemy
blæst	blast
bleɪtn̩t	blatant
blæðɚ	blather
bleɪz	blaze
bleɪzɚ	blazer
bleɪzn̩	blazon
bliʧ	bleach
bliʧɚz	bleachers
blik	bleak
blɪɹ	blear
blɪɹi	bleary
blit	bleat
blɛd	bled
blid	bleed
blɛmɪʃ	blemish
blɛnʧ	blench
blɛnd	blend
blɛs	bless
blɛst	blessed
blɛst	blest
blu	blew
blaɪt	blight
blɪmp	blimp
blaɪnd	blind
blaɪndfoʊld	blindfold
blɪŋk	blink
blɪŋkɚ	blinker
blɪnts	blintz
blɪntsə	blintze
blɪs	bliss
blɪstɚ	blister
blaɪθ	blithe
blɪts	blitz
blɪtskɹig	blitzkrieg
blɪzɚd	blizzard
bloʊt	bloat
bloʊtɚ	bloater
blɑb	blob
blɑk	bloc
blɑk	block
blɑkeɪd	blockade
blɑkbʌstɚ	blockbuster
blɑkhɛd	blockhead
blɑnd	blonde
blʌd	blood
blʌdəd	blooded
blʌdʃɛd	bloodshed
blum	bloom
blumɚz	bloomers
blupɚ	blooper
blɑsm̩	blossom
blɑt	blot
blɑʧ	blotch
blɑtɚ	blotter
blaʊs	blouse
bloʊ	blow
bloʊgʌn	blowgun
bloʊn	blown
blaʊzi	blowsy
bloʊtɔɹʧ	blowtorch
bloʊi	blowy
blʌbɚ	blubber
bluʧɚ	blucher
blʌʤən	bludgeon
blu	blue
blubɛl	bluebell
bluɪŋ	blueing
blunoʊz	bluenose
blupɔɪnt	bluepoint
bluz	blues
blustɑkɪŋ	bluestocking
bluət	bluet
blʌf	bluff
bluɪʃ	bluish
blʌndɚ	blunder
blʌnt	blunt
blɝ	blur
blɝb	blurb
blɝt	blurt
blʌʃ	blush
blʌstɚ	bluster
boʊə	boa
boɹ	boar
boɹd	board
boʊst	boast
boʊt	boat
boʊthaʊs	boathouse
boʊtmən	boatman
boʊsn̩	boatswain
bɑb	bob
bɑbən	bobbin
bɑbl̩	bobble
bɑbi	bobby
bɑbkæt	bobcat
bɑbəlɪŋk	bobolink
bɑbslɛd	bobsled
bɑbhwaɪt	bobwhite
bɑʧi	boccie
bɑk	bock
boʊd	bode
bɑdəs	bodice
bɑdiləs	bodiless
bɑdəli	bodily
bɑdkən	bodkin
bɑdi	body
bɔg	bog
bʊgimæn	bogeyman
bʊgi	bogie
boʊgəs	bogus
bɔɪl	boil
bɔɪstɚəs	boisterous
boʊld	bold
boʊl	bole
bəlɛɹoʊ	bolero
bəlivɑɹ	bolivar
bɑləvɑɹeɪs	bolivares
bəlɪviɑnoʊ	boliviano
boʊl	boll
boʊloʊ	bolo
bəloʊni	bologna
boʊlʃəvɪzm̩	bolshevism
boʊlstɚ	bolster
boʊlt	bolt
boʊləs	bolus
bɑm	bomb
bɑmbɑɹd	bombard
bɑmbɚdɪɹ	bombardier
bɑmbæst	bombast
bɑmbæstɪk	bombastic
bɑmbəzin	bombazine
bɑmɚ	bomber
bɑmpɹuf	bombproof
bɑmʃɛl	bombshell
bənænzə	bonanza
bɑnbɑn	bonbon
bɑnd	bond
bɑndɪʤ	bondage
bɑndhoʊldɚ	bondholder
bɑndmən	bondman
bɑndzmən	bondsman
bɑndwʊmən	bondwoman
boʊn	bone
boʊnɚ	boner
bɑnfaɪɹ	bonfire
bɑŋgoʊ	bongo
bɑnəmi	bonhomie
bənitoʊ	bonito
bɑnət	bonnet
bɑni	bonnie
bɑnsaɪ	bonsai
boʊnəs	bonus
bu	boo
bubi	booby
budl̩	boodle
bʊk	book
bʊklət	booklet
bum	boom
bumɚæŋ	boomerang
bumtaʊn	boomtown
bun	boon
bundɔglɪŋ	boondoggling
bʊɹ	boor
bust	boost
but	boot
buθ	booth
buðz	booths
buti	bootie
butlɛg	bootleg
butləs	bootless
buti	booty
buz	booze
boɹæks	borax
bɔɹdɚ	border
boɹ	bore
boɹil̩	boreal
boɹdəm	boredom
bɔɹn	born
boɹn	borne
boɹɑn	boron
bɝoʊ	borough
bɑɹoʊ	borrow
bɔɹʃt	borscht
bɑʃ	bosh
bɑski	bosky
bʊzm̩	bosom
bɔs	boss
boʊsn̩	bosun
bətænɪkl̩	botanical
bɑtn̩əst	botanist
bɑtn̩i	botany
bɑʧ	botch
boʊθ	both
bɑðɚ	bother
bɑtl̩	bottle
bɑtm̩	bottom
budwɑɹ	boudoir
bufɑnt	bouffant
baʊ	bough
bɔt	bought
boʊldɚ	boulder
bʊləvɑɹd	boulevard
baʊns	bounce
baʊnd	bound
baʊndɚi	boundary
baʊndən	bounden
baʊntiəs	bounteous
baʊntɪfl̩	bountiful
baʊnti	bounty
boʊkeɪ	bouquet
bɝbən	bourbon
bʊɹƷwɑ	bourgeois
bʊɹƷwɑzi	bourgeoisie
boɹn	bourne
bʊɹs	bourse
baʊt	bout
butik	boutique
butn̩ɪɹ	boutonniere
boʊvaɪn	bovine
boʊ	bow
boʊdləɹaɪz	bowdlerize
baʊl̩	bowel
baʊɚ	bower
boʊl	bowl
boʊlɛg	bowleg
boʊlɚ	bowler
boʊmən	bowman
baʊspɹɪt	bowsprit
boʊstɹɪŋ	bowstring
bɑks	box
bɔɪ	boy
bɔɪkɑt	boycott
bɹɑ	bra
bɹeɪs	brace
bɹækən	bracken
bɹækət	bracket
bɹækɪʃ	brackish
bɹækt	bract
bɹæd	brad
bɹeɪ	brae
bɹæg	brag
bɹægədoʊsioʊ	braggadocio
bɹægɚt	braggart
bɹeɪd	braid
bɹeɪl	braille
bɹeɪn	brain
bɹeɪz	braise
bɹeɪk	brake
bɹæmbl̩	bramble
bɹæn	bran
bɹænʧ	branch
bɹænd	brand
bɹændɪʃ	brandish
bɹændi	brandy
bɹæʃ	brash
bɹæs	brass
bɹəzɪɹ	brassiere
bɹæt	brat
bɹəvɑdoʊ	bravado
bɹeɪv	brave
bɹeɪvɚi	bravery
bɹɑvoʊ	bravo
bɹəvʊɹə	bravura
bɹɔl	brawl
bɹɔn	brawn
bɹeɪ	bray
bɹeɪz	braze
bɹeɪzn̩	brazen
bɹeɪƷɚ	brazier
bɹiʧ	breach
bɹɛd	bread
bɹɛdθ	breadth
bɹɛdwɪnɚ	breadwinner
bɹeɪk	break
bɹeɪkɪʤ	breakage
bɹeɪkdaʊn	breakdown
bɹɛkfəst	breakfast
bɹeɪkaʊt	breakout
bɹeɪkwɔtɚ	breakwater
bɹɪm	bream
bɹɛst	breast
bɹɛstboʊn	breastbone
bɹɛstwɝk	breastwork
bɹɛθ	breath
bɹið	breathe
